timestamp,open,high,low,close,volume
2026-03-15 09:38:00,71802.22,71824.0,71802.22,71824.0,0.61396
2026-03-15 09:39:00,71824.0,71846.0,71823.99,71843.13,1.49602
2026-03-15 09:40:00,71843.13,71843.14,71820.71,71830.59,2.26525
2026-03-15 09:41:00,71830.6,71839.95,71825.56,71825.57,0.83649
2026-03-15 09:42:00,71825.56,71825.57,71787.95,71789.75,6.01685
2026-03-15 09:43:00,71789.74,71789.75,71740.35,71750.7,6.23989
2026-03-15 09:44:00,71750.71,71765.36,71742.65,71758.59,3.01365
2026-03-15 09:45:00,71758.59,71772.44,71750.62,71772.43,1.34398
2026-03-15 09:46:00,71772.44,71777.72,71772.44,71777.72,1.31911
2026-03-15 09:47:00,71777.71,71787.96,71772.44,71772.45,2.44006
2026-03-15 09:48:00,71772.45,71772.45,71713.9,71742.51,15.53156
2026-03-15 09:49:00,71742.51,71742.52,71725.94,71733.0,1.09401
2026-03-15 09:50:00,71733.01,71741.97,71733.0,71736.95,1.30336
2026-03-15 09:51:00,71736.94,71745.25,71736.94,71745.24,0.87386
2026-03-15 09:52:00,71745.25,71823.19,71745.24,71792.47,7.33789
2026-03-15 09:53:00,71792.47,71792.48,71782.54,71790.21,1.53705
2026-03-15 09:54:00,71790.22,71793.95,71785.46,71785.46,0.68906
2026-03-15 09:55:00,71785.46,71793.95,71780.13,71793.94,1.35903
2026-03-15 09:56:00,71793.95,71824.55,71793.94,71824.55,1.67423
2026-03-15 09:57:00,71824.55,71824.55,71824.54,71824.55,0.50094
2026-03-15 09:58:00,71824.55,71840.94,71824.54,71825.27,2.01566
2026-03-15 09:59:00,71825.26,71825.27,71791.1,71791.1,10.75133
2026-03-15 10:00:00,71791.11,71824.72,71791.1,71815.62,16.94106
2026-03-15 10:01:00,71815.61,71835.83,71801.15,71835.83,15.56019
2026-03-15 10:02:00,71835.82,71842.66,71820.73,71820.74,18.72711
2026-03-15 10:03:00,71820.73,71820.74,71803.63,71803.64,15.63735
2026-03-15 10:04:00,71803.63,71821.2,71765.51,71779.87,22.15316
2026-03-15 10:05:00,71779.88,71779.88,71740.01,71740.02,13.5474
2026-03-15 10:06:00,71740.01,71744.55,71730.0,71730.92,18.84886
2026-03-15 10:07:00,71730.92,71774.93,71714.37,71752.75,20.71568
2026-03-15 10:08:00,71752.74,71766.11,71746.45,71757.56,15.81817
2026-03-15 10:09:00,71757.56,71776.2,71757.56,71761.47,18.74729
2026-03-15 10:10:00,71761.47,71766.08,71743.68,71743.68,13.58592
2026-03-15 10:11:00,71743.68,71770.44,71729.9,71770.44,15.12399
2026-03-15 10:12:00,71770.44,71800.0,71770.43,71789.95,3.99151
2026-03-15 10:13:00,71789.95,71789.95,71789.94,71789.95,1.88988
2026-03-15 10:14:00,71789.95,71806.66,71789.94,71806.66,1.25748
2026-03-15 10:15:00,71806.65,71806.65,71803.48,71803.49,1.98822
2026-03-15 10:16:00,71803.49,71803.49,71797.95,71797.95,1.74974
2026-03-15 10:17:00,71797.96,71815.94,71797.95,71815.94,1.92894
2026-03-15 10:18:00,71815.94,71859.36,71815.94,71859.36,2.28865
2026-03-15 10:19:00,71859.35,71897.39,71859.35,71872.66,10.27006
2026-03-15 10:20:00,71872.66,71919.19,71871.62,71899.74,11.43817
2026-03-15 10:21:00,71899.73,71899.74,71879.22,71879.22,2.68461
2026-03-15 10:22:00,71879.22,71879.23,71830.0,71834.73,2.95314
2026-03-15 10:23:00,71834.73,71861.2,71834.73,71855.54,1.67901
2026-03-15 10:24:00,71855.53,71861.21,71834.74,71845.32,4.39369
2026-03-15 10:25:00,71845.33,71856.28,71837.34,71837.34,5.67752
2026-03-15 10:26:00,71837.34,71848.55,71837.34,71848.54,5.39866
2026-03-15 10:27:00,71848.55,71849.95,71848.53,71849.95,6.02021
2026-03-15 10:28:00,71849.95,71855.53,71849.94,71855.52,6.51048
2026-03-15 10:29:00,71855.53,71862.47,71855.52,71862.46,5.73215
2026-03-15 10:30:00,71862.47,71867.4,71840.73,71840.73,7.66972
2026-03-15 10:31:00,71840.74,71840.74,71829.19,71829.77,7.29307
2026-03-15 10:32:00,71829.78,71833.94,71821.47,71821.47,6.35221
2026-03-15 10:33:00,71821.47,71829.02,71800.0,71829.01,6.09159
2026-03-15 10:34:00,71829.02,71841.31,71829.01,71833.5,5.04729
2026-03-15 10:35:00,71833.51,71866.34,71825.88,71858.72,12.0754
2026-03-15 10:36:00,71858.72,71858.73,71843.62,71843.62,6.04679
2026-03-15 10:37:00,71843.63,71843.63,71823.06,71823.06,6.72347
2026-03-15 10:38:00,71823.07,71823.07,71794.2,71798.55,11.34485
2026-03-15 10:39:00,71798.56,71805.53,71798.55,71805.52,7.96935
2026-03-15 10:40:00,71805.53,71807.46,71805.52,71807.45,8.01704
2026-03-15 10:41:00,71807.46,71811.12,71801.64,71811.11,6.02292
2026-03-15 10:42:00,71811.12,71812.86,71811.12,71812.85,6.51594
2026-03-15 10:43:00,71812.86,71821.34,71812.85,71821.33,7.20236
2026-03-15 10:44:00,71821.34,71834.96,71821.34,71830.64,9.30271
2026-03-15 10:45:00,71830.64,71830.64,71828.13,71828.13,7.25004
2026-03-15 10:46:00,71828.13,71828.14,71820.23,71823.13,8.01398
2026-03-15 10:47:00,71823.14,71823.14,71823.13,71823.13,8.16941
2026-03-15 10:48:00,71823.14,71823.14,71794.89,71802.14,10.54148
2026-03-15 10:49:00,71802.14,71828.96,71788.15,71797.24,12.55323
2026-03-15 10:50:00,71797.25,71823.0,71797.24,71817.96,8.19925
2026-03-15 10:51:00,71817.97,71817.97,71793.63,71793.63,7.65928
2026-03-15 10:52:00,71793.62,71823.0,71792.82,71811.07,9.22669
2026-03-15 10:53:00,71811.07,71823.0,71811.07,71818.4,8.82587
2026-03-15 10:54:00,71818.4,71818.41,71797.0,71814.76,7.52549
2026-03-15 10:55:00,71814.77,71814.77,71800.19,71800.19,5.25691
2026-03-15 10:56:00,71800.2,71800.2,71796.6,71796.6,7.59933
2026-03-15 10:57:00,71796.61,71807.25,71788.19,71788.19,15.38097
2026-03-15 10:58:00,71788.2,71788.2,71785.19,71785.19,8.28923
2026-03-15 10:59:00,71785.19,71787.62,71783.09,71783.09,3.58933
2026-03-15 11:00:00,71783.1,71787.59,71780.42,71782.55,7.50787
2026-03-15 11:01:00,71782.55,71782.56,71765.0,71778.39,3.95819
2026-03-15 11:02:00,71778.4,71778.4,71760.0,71760.0,3.91612
